shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
111111-111111-110011-100011	0	0.0229347506432344	0.0723312229184398	0.0442804846745205
111111-111111-110011-100011	1	0.0715041413177132	0.8664783317124501	0.0723312229184398
111111-111111-110011-100011	2	0.0723312229184398	0.8664783317124501	0.5164094368589143
111111-111111-110011-100011	3	0.5164094368589143	0.9658097093166336	0.7146592584870951
111111-111111-110011-100011	4	0.7146592584870951	1.003630721160366	0.8822941651379291
111111-111111-110011-100011	5	1.1158516026439804	1.2741497038376834	1.157580617320811
111111-111111-110011-100011	6	1.1193824908769971	1.2741497038376834	1.2019662431917588
111111-111111-110011-100011	7	1.1193824908769971	1.4075454397530145	1.3798928935189256
111111-111111-110011-100011	8	1.1382990518959752	1.609219031316857	1.3798928935189256
111111-111111-110011-100011	9	1.2420693239126717	1.7020236887597064	1.690605554211914
111111-111111-110011-100011	10	1.3836781186981166	1.7020236887597064	1.690605554211914
111111-111111-110011-100011	11	1.3948415116743047	1.7020236887597064	1.690605554211914
111111-111111-110011-100011	12	1.5808393183004992	1.89146280197642	1.690605554211914
111111-111111-110011-100011	13	1.597511285371881	2.0141635047449222	1.690605554211914
111111-111111-110011-100011	14	1.6896539701263331	2.0141635047449222	1.690605554211914
111111-111111-110011-100011	15	1.690605554211914	2.1651623274995293	1.7603338185756237
111111-111111-110011-100011	16	1.690605554211914	2.1651623274995293	1.8201278897770845
111111-111111-110011-100011	17	1.6944147192705157	2.2109388098155645	1.8201278897770845
111111-111111-110011-100011	18	1.6944147192705157	2.293380967853806	2.0883033761415946
111111-111111-110011-100011	19	1.7665467578392444	2.3419334803810896	2.0883033761415946
111111-111111-110011-100011	20	1.830716638032773	2.372657639384057	2.0883033761415946
111111-111111-110011-100011	21	1.8810632392367967	2.372657639384057	2.235749080485566
111111-111111-110011-100011	22	1.899575632035665	2.456716200065388	2.235749080485566
111111-111111-110011-100011	23	1.9320781802297635	2.456716200065388	2.235749080485566
111111-111111-110011-100011	24	1.9320781802297635	2.5107792695563127	2.235749080485566
111111-111111-110011-100011	25	2.0355573096931403	2.5107792695563127	2.235749080485566
111111-111111-110011-100011	26	2.106606584748009	2.5107792695563127	2.235749080485566
111111-111111-110011-100011	27	2.235749080485566	2.561300095021332	2.3295704144806044
111111-111111-110011-100011	28	2.2565091123905288	2.6055211984997304	2.3295704144806044
111111-111111-110011-100011	29	2.3295704144806044	2.6055211984997304	2.4279853365250137
111111-111111-110011-100011	30	2.3295704144806044	2.645464247767374	2.453262602850337
111111-111111-110011-100011	31	2.383894762381947	2.65562620418283	2.453262602850337
111111-111111-110011-100011	32	2.453262602850337	2.7616463827250266	2.5657411210169547
111111-111111-110011-100011	33	2.4749477022373645	2.7616463827250266	2.5657411210169547
111111-111111-110011-100011	34	2.5270380654670808	2.7616463827250266	2.566152221177435
111111-111111-110011-100011	35	2.5466822714809543	2.7616463827250266	2.615906738704571
111111-111111-110011-100011	36	2.615906738704571	2.771516399338502	2.6452413103081622
111111-111111-110011-100011	37	2.618705857778788	2.8016802983803792	2.6452413103081622
111111-111111-110011-100011	38	2.6452413103081622	2.8016802983803792	2.7389614890658605
111111-111111-110011-100011	39	2.6452413103081622	2.8016802983803792	2.7389614890658605
111111-111111-110011-100011	40	2.6452413103081622	2.8016802983803792	2.759566613939579
111111-111111-110011-100011	41	2.720141872319895	2.8016802983803792	2.759566613939579
111111-111111-110011-100011	42	2.720141872319895	2.8016802983803792	2.759566613939579
111111-111111-110011-100011	43	2.720141872319895	2.8016802983803792	2.759566613939579
